id,email,password_hash,first_name,last_name,role_id,team_id,is_active,two_factor_enabled
9b92a97c-3d01-4c0f-aedb-89585e98103f,соломон.попов@gazneftetreding.org,$2a$10$XFE0DcAdWRMsUVEMPZxXU.K.6Oxe5kHww3lNMlYRKXqHNyPu4uGCa,Соломон,Попов,1,3,True,False
dae3d3ab-75a1-46d9-a112-d9672d82ab30,гаврила.кондратьева@metallotorg.ru,$2a$10$XFE0DcAdWRMsUVEMPZxXU.K.6Oxe5kHww3lNMlYRKXqHNyPu4uGCa,Гаврила,Кондратьева,4,2,True,False
f1b4b5ce-1a2a-45c2-8cc6-3bfc6b7e13dc,никандр.кабанов@suvorova.edu,$2a$10$XFE0DcAdWRMsUVEMPZxXU.K.6Oxe5kHww3lNMlYRKXqHNyPu4uGCa,Никандр,Кабанов,3,4,True,False
7c7c5a17-d13e-4631-8c94-966bc68c511a,кир.маслова@zao.com,$2a$10$XFE0DcAdWRMsUVEMPZxXU.K.6Oxe5kHww3lNMlYRKXqHNyPu4uGCa,Кир,Маслова,2,2,True,False
c79ef18a-241f-4f0d-9e99-4b46ab236ef0,никон.самойлова@rao.edu,$2a$10$XFE0DcAdWRMsUVEMPZxXU.K.6Oxe5kHww3lNMlYRKXqHNyPu4uGCa,Никон,Самойлова,4,1,True,False
1b0ddc6a-e5ab-4b01-95b0-c8e798fa2c50,панкрат.гордеев@ip.ru,$2a$10$XFE0DcAdWRMsUVEMPZxXU.K.6Oxe5kHww3lNMlYRKXqHNyPu4uGCa,Панкрат,Гордеев,3,2,True,False
1d64c1c8-d0af-4367-95f1-a38458985cd6,евсей.карпов@rao.info,$2a$10$XFE0DcAdWRMsUVEMPZxXU.K.6Oxe5kHww3lNMlYRKXqHNyPu4uGCa,Евсей,Карпов,4,1,True,False
b56c391c-6bca-429b-846b-f1bba5fe72b7,григорий.куликова@ip.biz,$2a$10$XFE0DcAdWRMsUVEMPZxXU.K.6Oxe5kHww3lNMlYRKXqHNyPu4uGCa,Григорий,Куликова,1,2,True,False
aa64caf3-db10-44d4-aeff-6da4553c7b84,якуб.евсеев@rao.edu,$2a$10$XFE0DcAdWRMsUVEMPZxXU.K.6Oxe5kHww3lNMlYRKXqHNyPu4uGCa,Якуб,Евсеев,3,2,True,True
2ff8a24f-f2cc-47e0-b7ce-4d3a137db258,валентин.осипова@rao.org,$2a$10$XFE0DcAdWRMsUVEMPZxXU.K.6Oxe5kHww3lNMlYRKXqHNyPu4uGCa,Валентин,Осипова,3,1,False,False
333a683f-b1b4-463c-9b99-2cd3bd395531,ефрем.матвеева@ooo.ru,$2a$10$XFE0DcAdWRMsUVEMPZxXU.K.6Oxe5kHww3lNMlYRKXqHNyPu4uGCa,Ефрем,Матвеева,1,3,True,False
0016c387-af40-4251-a23d-2d33d8db8fc3,фаина.волков@sitnikova.net,$2a$10$XFE0DcAdWRMsUVEMPZxXU.K.6Oxe5kHww3lNMlYRKXqHNyPu4uGCa,Фаина,Волков,4,1,True,False
7d1c45b2-ff6f-48a9-a689-fd6e1dd821ce,виталий.кулагин@zatsev.edu,$2a$10$XFE0DcAdWRMsUVEMPZxXU.K.6Oxe5kHww3lNMlYRKXqHNyPu4uGCa,Виталий,Кулагин,3,2,True,False
e7bac3a7-46a7-4402-bc9c-9beb5573ef92,федор.бирюков@ao.net,$2a$10$XFE0DcAdWRMsUVEMPZxXU.K.6Oxe5kHww3lNMlYRKXqHNyPu4uGCa,Федор,Бирюков,2,3,True,False
